Release Index,File,LOC,LOC Thouched,LOC Added,MAX LOC Added,Num Revisions,Num Authors,Churn,MAX Churn,ChgSet Size,Max ChgSetSize,Buggy,Num Bugs
1,daffodil/bin/daffodil/TestExamples.class,9,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/lib/saxon-b9-1-0-8/saxon9-jdom.jar,389,0,0,0,1,1,0,0,136,136,No,0
1,daffodil/sub-projects/core/src/daffodil/schema/annotation/enumerations/LengthUnits.scala,39,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/bin/daffodil/processors/ProcessorFactory$$anonfun$getTextRepresentation$4.class,8,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/sub-projects/core/libsrc/jing-20081028/doc/api/jing/com/thaiopensource/validate/ValidateProperty.XMLReaderCreatorPropertyId.html,266,604,302,302,1,1,302,302,241,241,No,0
1,daffodil/srcTest/daffodil/processors/input/InputValueCalcTest.scala,323,772,386,386,1,1,386,386,4,4,No,0
1,daffodil/sub-projects/core/test/AR.xsd,28,120,0,0,2,2,-60,0,156,80,No,0
1,daffodil/bin/daffodil/debugger/BasicTextDebugger$$anonfun$printVariables$1.class,15,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/sub-projects/daffodil-lib/eclipse-xml-catalog2.xml,11,22,11,11,1,1,11,11,1,1,No,0
1,daffodil/bin/daffodil/arguments/ArgumentParser$$anonfun$add$1.class,19,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/sub-projects/core/src/daffodil/processors/ProcessorFactory.scala,326,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/sub-projects/core/srcTest/daffodil/xml/test/unit/Runner.scala,4,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/bin/daffodil/arguments/OptionalSingle$.class,17,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/sub-projects/core/src/daffodil/schema/annotation/enumerations/OccursCountKind.scala,42,8,4,2,3,3,4,2,352,300,No,0
1,daffodil/sub-projects/core/test/AC.xsd,43,184,0,0,2,2,-92,0,156,80,No,0
1,daffodil/test/BC.xsd,19,8,2,1,2,1,0,0,151,136,No,0
1,daffodil/sub-projects/core/libsrc/jing-20081028/doc/api/jing/com/thaiopensource/validate/auto/package-summary.html,197,446,223,223,1,1,223,223,241,241,No,0
1,daffodil/test/AG.xsd,48,220,55,55,2,1,0,55,12,6,No,0
1,daffodil/sub-projects/core/src/xsd/AU.dfdl.xsd,29,68,0,0,3,2,-34,0,197,80,No,0
1,daffodil/sub-projects/daffodil-lib/bin/daffodil/exceptions/Assert$$anonfun$impossible$1.class,10,0,0,0,2,1,0,0,58,33,No,0
1,daffodil/bin/daffodil/parser/AnnotationParser.class,462,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/bin/daffodil/processors/input/text/TextProcessor$CharScan.class,16,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/sub-projects/core/test/BG.dfdl.xsd,43,94,47,47,1,1,47,47,137,137,No,0
1,daffodil/sub-projects/core/src/xsd/AC.dfdl.xml,40,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/bin/daffodil/processors/input/text/TextProcessor$$anonfun$4.class,13,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/src/daffodil/dsom/DsomCompiler.scala,199,1028,372,230,2,1,230,142,8,6,No,0
1,daffodil/test/AN001.in,1,4,1,1,1,1,0,0,136,136,No,0
1,daffodil/sub-projects/core/src/daffodil/processors/xpath/XPathResult.scala,43,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/test-suite/ibm-contributed/syntax_entities_6.dfdl.xsd,76,192,96,96,1,1,96,96,44,44,No,0
1,daffodil/sub-projects/core/src/daffodil/schema/annotation/enumerations/Representation.scala,37,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/bin/daffodil/processors/ProcessorFactory$$anonfun$25.class,8,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/bin/daffodil/processors/input/binary/BinaryProcessor$$anonfun$getFixedLength$1.class,15,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/sub-projects/core/lib/jing.jar,4493,0,0,0,1,1,0,0,241,241,No,0
1,daffodil/sub-projects/core/test/AR.dfdl.xsd,28,64,32,32,1,1,32,32,137,137,No,0
1,daffodil/bin/daffodil/exceptions/XPathEvaluationException.class,23,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/sub-projects/core/libsrc/jing-20081028/doc/api/jing/com/thaiopensource/xml/sax/ForkContentHandler.html,467,1060,530,530,1,1,530,530,241,241,No,0
1,daffodil/bin/daffodil/TestExamples$$anonfun$main$1.class,10,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/bin/daffodil/debugger/BasicTextDebugger$$anonfun$printHex$1.class,19,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/sub-projects/core/grddlTest/SimpleCSV.dfdl.xsd,43,12,3,3,3,2,0,0,221,137,No,0
1,daffodil/bin/daffodil/TestExamples$.class,15,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/sub-projects/core/src/daffodil/api/DFDLParserUnparser.scala,69,336,168,84,2,2,168,84,52,36,No,0
1,daffodil/sub-projects/core/src/xsd/AR.dfdl.xsd,28,64,0,0,3,2,-32,0,197,80,No,0
1,daffodil/bin/daffodil/parser/regex/Regex$InnerRegexCompiled.class,32,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/bin/daffodil/parser/SchemaParser$$anonfun$parseSequence$1.class,50,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/test-suite/ibm-contributed/length_explicit_12.dfdl.xsd,44,96,48,48,1,1,48,48,44,44,No,0
1,daffodil/test-suite/ibm-contributed/dpaext1.tdml,612,1548,774,774,1,1,774,774,44,44,No,0
1,daffodil/sub-projects/core/test/AF001.xml,18,54,17,17,1,1,7,7,53,53,No,0
1,daffodil/sub-projects/core/doc/design-notes/exports/daffodil.html_files/icons/messagebox_warning.png,6,0,0,0,1,1,0,0,137,137,No,0
1,daffodil/src/xsd/AB.dfdl.xml,26,66,32,31,2,1,31,31,75,42,No,0
1,daffodil/src/xsd/AO.dfdl.xml,50,114,56,55,2,1,55,55,75,42,No,0
1,daffodil/sub-projects/core/libsrc/jing-20081028/doc/api/jing/com/thaiopensource/validate/ValidateProperty.EntityResolverPropertyId.html,266,604,302,302,1,1,302,302,241,241,No,0
1,daffodil/bin/daffodil/processors/input/binary/BinaryUtil$.class,14,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/test-suite/ibm-contributed/dpabol102.dfdl.xsd,31,80,40,40,1,1,40,40,44,44,No,0
1,daffodil/sub-projects/core/libsrc/jing-20081028/doc/api/jing/com/thaiopensource/util/package-frame.html,67,156,78,78,1,1,78,78,241,241,No,0
1,daffodil/sub-projects/core/libsrc/jing-20081028/doc/api/jing/resources/inherit.gif,1,0,0,0,1,1,0,0,241,241,No,0
1,daffodil/sub-projects/core/doc/design-notes/exports/daffodil.html_files/icons/prepare.png,9,0,0,0,1,1,0,0,137,137,No,0
1,daffodil/bin/daffodil/Main$$anonfun$2.class,13,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/sub-projects/core/src/daffodil/TestExamples.scala,20,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/test/BD.xsd,16,12,4,3,2,1,2,2,22,15,No,0
1,daffodil/bin/daffodil/processors/VariableMap$$anonfun$save$1.class,8,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/bin/daffodil/parser/SchemaParser$$anonfun$parse$1.class,37,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/sub-projects/core/doc/design-notes/exports/daffodil.html_files/icons/edit.png,13,0,0,0,1,1,0,0,137,137,No,0
1,daffodil/sub-projects/core/src/daffodil/parser/regex/Regex.scala,210,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/src/xsd/AL.dfdl.xml,31,74,36,35,2,1,35,35,75,42,No,0
1,daffodil/test/AU.xsd,29,34,12,11,2,1,7,7,178,136,No,0
1,daffodil/sub-projects/core/libsrc/jing-20081028/lib/xhtml/modules/struct.rng,63,152,76,76,1,1,76,76,241,241,No,0
1,daffodil/sub-projects/core/src/daffodil/schema/DebuggingBasicNode.scala,49,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/sub-projects/core/README,87,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/bin/daffodil/parser/regex/RegexCompiled.class,13,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/srcTest/daffodil/schema/annotation/test/unit/AnnotationTest.scala,365,152,40,40,1,1,4,4,16,16,No,0
1,daffodil/sub-projects/core/src/daffodil/schema/annotation/enumerations/BinaryNumberRepresentation.scala,40,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/sub-projects/core/libsrc/jing-20081028/doc/api/jing/com/thaiopensource/validate/auto/AutoSchemaReceiver.html,225,516,258,258,1,1,258,258,241,241,No,0
1,daffodil/sub-projects/core/test/AH.dfdl.xsd,47,108,53,47,2,2,52,47,190,137,No,0
1,daffodil/sub-projects/daffodil-lib/src/xsd/XMLSchema.dtd,348,804,402,402,1,1,402,402,137,137,No,0
1,daffodil/sub-projects/core/libsrc/xsom-20110101-SNAPSHOT-javadoc.jar,7474,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/sub-projects/core/src/daffodil/dsom/RuntimePropertyMixins.scala,47,160,74,66,4,3,68,66,108,53,No,0
1,daffodil/.idea/ant.xml,14,30,15,15,1,1,15,15,300,300,No,0
1,daffodil/sub-projects/core/src/xsd/AH.dfdl.xsd,41,94,0,0,3,2,-47,0,197,80,No,0
1,daffodil/sub-projects/daffodil-lib/src/xsd/examples-of-dfdl-schema-validation-errors.dfdl,85,196,98,98,1,1,98,98,14,14,No,0
1,daffodil/sub-projects/core/src/daffodil/processors/internal/package.html,9,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/bin/daffodil/processors/xpath/XPathResult.class,9,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/bin/daffodil/exceptions/DFDLReservedKeywordException.class,13,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/src/xsd/AJ.dfdl.xml,46,106,52,51,2,1,51,51,75,42,No,0
1,daffodil/TODO.txt,24,96,47,38,2,2,46,38,436,300,No,0
1,daffodil/sub-projects/core/doc/DFDL-Schema-Object-Model/argouml-web-start.jnlp,94,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/sub-projects/core/libsrc/jing-20081028/doc/api/jing/com/thaiopensource/util/Utf16.html,304,694,347,347,1,1,347,347,241,241,No,0
1,daffodil/sub-projects/core/libsrc/jing-20081028/doc/api/jing/com/thaiopensource/xml/sax/package-frame.html,52,122,61,61,1,1,61,61,241,241,No,0
1,daffodil/bin/daffodil/exceptions/InitiatorMissingException.class,29,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/bin/daffodil/parser/LinkedList.class,50,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/test-suite/ibm-contributed/dpaflsaln101_01.dfdl.xsd,101,248,124,124,1,1,124,124,44,44,No,0
1,daffodil/bin/daffodil/WgTestCases$.class,48,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/updatedSrcTest/daffodil/parser/regex/RegexUnitTest.scala,187,712,0,0,1,1,-356,0,136,136,No,0
1,daffodil/sub-projects/core/doc/design-notes/exports/daffodil.html_files/icons/group.png,10,0,0,0,1,1,0,0,137,137,No,0
1,daffodil/sub-projects/core/doc/design-notes/exports/daffodil.html_files/icons/penguin.png,7,0,0,0,1,1,0,0,137,137,No,0
1,daffodil/bin/daffodil/processors/ProcessorFactory$$anonfun$21.class,8,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/sub-projects/core/eclipse_settings.zip,99,0,0,0,1,1,0,0,11,11,No,0
1,daffodil/sub-projects/core/libsrc/jing-20081028/doc/api/jing/com/thaiopensource/validate/NamePropertyId.html,263,598,299,299,1,1,299,299,241,241,No,0
1,daffodil/bin/daffodil/processors/VariableSet.class,21,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/sub-projects/core/libsrc/jing-20081028/doc/api/jing/com/thaiopensource/util/Uri.html,287,656,328,328,1,1,328,328,241,241,No,0
1,daffodil/sub-projects/core/src/daffodil/schema/annotation/Variable.scala,32,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/sub-projects/daffodil-lib/bin/daffodil/exceptions/Assert$$anonfun$unknownPropertyValue$1.class,14,0,0,0,2,1,0,0,58,33,No,0
1,daffodil/MCL/GKS examples,323,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/sub-projects/core/libsrc/jing-20081028/doc/api/jing/com/thaiopensource/util/SinglePropertyMap.html,303,684,342,342,1,1,342,342,241,241,No,0
1,daffodil/sub-projects/core/src/xsd/AW.dfdl.xsd,36,80,0,0,3,2,-40,0,197,80,No,0
1,daffodil/bin/daffodil/processors/VariableMap$$anonfun$setVariable$1.class,15,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/sub-projects/core/libsrc/jing-20081028/lib/xhtml/xhtml-strict.rng,33,72,36,36,1,1,36,36,241,241,No,0
1,daffodil/sub-projects/core/src/daffodil/WgTestCases.scala,48,0,0,0,1,1,0,0,300,300,No,0
